Source IP,Source MAC,Source TCP Port,Source UDP Port,Target IP,Target MAC,Target TCP Port,Target UDP Port,Protocol,Application Protocol,Packets A->B,Packets B->A,Bytes A->B,Bytes B->A,First Seen,Last Seen,Duration (seconds),Conversation Status,TCP Flags,Stream ID,Frame Protocols,VLAN ID,DiffServ Field,IP Version
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.10,58:bf:ea:be:ad:80,,63796,UDP,DATA,1,0,127,0,2019-02-24T03:55:56.017981,2019-02-24T03:55:56.017981,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.7,58:bf:ea:be:ad:80,,57919,UDP,DATA,1,0,127,0,2019-02-24T03:55:56.149024,2019-02-24T03:55:56.149024,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.11,58:bf:ea:be:ad:80,,59393,UDP,DATA,1,0,127,0,2019-02-24T03:55:59.935712,2019-02-24T03:55:59.935712,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.11,58:bf:ea:be:b3:80,,59662,UDP,DATA,1,0,127,0,2019-02-24T03:56:00.258287,2019-02-24T03:56:00.258287,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.12,58:bf:ea:be:ad:80,,64995,UDP,DATA,1,0,127,0,2019-02-24T03:56:06.358065,2019-02-24T03:56:06.358065,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.12,58:bf:ea:be:ad:80,,65264,UDP,DATA,1,0,127,0,2019-02-24T03:56:06.670616,2019-02-24T03:56:06.670616,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.13,58:bf:ea:be:ad:80,,57537,UDP,DATA,1,0,127,0,2019-02-24T03:56:08.693514,2019-02-24T03:56:08.693514,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.13,58:bf:ea:be:ad:80,,57806,UDP,DATA,1,0,127,0,2019-02-24T03:56:09.017728,2019-02-24T03:56:09.017728,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.14,58:bf:ea:be:b3:80,,49669,UDP,DATA,1,0,127,0,2019-02-24T03:56:12.616750,2019-02-24T03:56:12.616750,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.14,58:bf:ea:be:b3:80,,49931,UDP,DATA,1,0,127,0,2019-02-24T03:56:12.934682,2019-02-24T03:56:12.934682,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.8,58:bf:ea:be:ad:80,,60467,UDP,DATA,1,0,127,0,2019-02-24T03:56:15.762282,2019-02-24T03:56:15.762282,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.8,58:bf:ea:be:b3:80,,60730,UDP,DATA,1,0,127,0,2019-02-24T03:56:16.104636,2019-02-24T03:56:16.104636,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.9,58:bf:ea:be:b3:80,,65054,UDP,DATA,1,0,127,0,2019-02-24T03:56:22.863937,2019-02-24T03:56:22.863937,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.9,58:bf:ea:be:b3:80,,65317,UDP,DATA,1,0,127,0,2019-02-24T03:56:23.197163,2019-02-24T03:56:23.197163,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.10,58:bf:ea:be:b3:80,,64255,UDP,DATA,1,0,127,0,2019-02-24T03:56:25.687845,2019-02-24T03:56:25.687845,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.7,58:bf:ea:be:b3:80,,58400,UDP,DATA,1,0,127,0,2019-02-24T03:56:25.849579,2019-02-24T03:56:25.849579,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
